idx,datetime,summacd,top_mark,bottom_mark,top_price,bottom_price,in_zhongshu,is_top,is_bottom,is_XSG,is_XXD,is_SZBBC,is_XDBBC,is_SZ5BBC,is_XD5BBC,is_SZ7BBC,is_XD7BBC,is_SZZSPZBC,is_XDZSPZBC,is_SZQSBC,is_XDQSBC
0,2023-04-27 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2023-04-28 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2023-05-04 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2023-05-05 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2023-05-10 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2023-05-11 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2023-05-15 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2023-05-16 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2023-05-17 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2023-05-18 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2023-05-19 15:00:00,,G,,28.530000686645508,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2023-05-22 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2023-05-25 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2023-05-26 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2023-05-29 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,2023-05-30 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,2023-05-31 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2023-06-01 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,2023-06-02 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2023-06-05 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2023-06-09 15:00:00,-1.149,,D,,26.14999961853028,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
21,2023-06-12 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2023-06-13 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2023-06-14 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2023-06-15 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2023-06-16 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2023-06-19 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2023-06-20 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,2023-06-21 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,2023-06-26 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,2023-06-28 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,2023-06-29 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,2023-06-30 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,2023-07-03 15:00:00,5.030100000000001,G,,34.529998779296875,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
34,2023-07-05 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,2023-07-06 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,2023-07-07 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,2023-07-11 15:00:00,0.0,,D,,32.47999954223633,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
38,2023-07-12 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2023-07-13 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,2023-07-18 15:00:00,0.2156000000000002,G,,35.31999969482422,,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
41,2023-07-19 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,2023-07-20 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,2023-07-24 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,2023-07-25 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,2023-07-26 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,2023-07-27 15:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,2023-07-28 15:00:00,-5.1975,,D,,31.14999961853028,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
48,2023-07-31 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,2023-08-01 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2023-08-02 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,2023-08-04 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,2023-08-07 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,2023-08-08 15:00:00,0.2228000000000012,G,,35.58000183105469,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
54,2023-08-09 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,2023-08-10 15:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
